ts,datetime,user,text,thread_ts,reply_count,reactions,has_files,has_attachments
1746893035.849709,2025-05-10 20:03:55,U08RLGP8M4N,<@U08RLGP8M4N> has joined the channel,,0,[],False,False
1746889524.397609,2025-05-10 19:05:24,U08RQH50A05,<@U08RQH50A05> has joined the channel,,0,[],False,False
1746889519.575399,2025-05-10 19:05:19,U08RQH428R3,<@U08RQH428R3> has joined the channel,,0,[],False,False
1746889358.909929,2025-05-10 19:02:38,U08S545HFBK,<@U08S545HFBK> has joined the channel,,0,[],False,False
