ts,datetime,user,text,thread_ts,reply_count,reactions,has_files,has_attachments
1746892701.712279,2025-05-10 19:58:21,U08RLGP8M4N,<@U08RLGP8M4N> has joined the channel,,0,[],False,False
1746892237.680399,2025-05-10 19:50:37,U08S545HFBK,three,,0,[],False,False
1746892236.099709,2025-05-10 19:50:36,U08S545HFBK,two,,0,[],False,False
1746892235.297269,2025-05-10 19:50:35,U08S545HFBK,one,,0,[],False,False
1746892233.843889,2025-05-10 19:50:33,U08S545HFBK,test,,0,[],False,False
1746892227.732649,2025-05-10 19:50:27,U08RQH50A05,<@U08RQH50A05> has joined the channel,,0,[],False,False
1746892227.656789,2025-05-10 19:50:27,U08RQH428R3,<@U08RQH428R3> has joined the channel,,0,[],False,False
1746892223.536889,2025-05-10 19:50:23,U08S545HFBK,<@U08S545HFBK> has joined the channel,,0,[],False,False
